Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,2018,16,2018/4/16,2018/4/22,11541,11493,,233,26,0,1,260,69,21,16,106,366,11120,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,17,2018/4/23,2018/4/29,11105,10984,,211,29,0,0,240,47,12,10,69,309,10674,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,18,2018/4/30,2018/5/6,10758,10391,,163,23,0,0,186,32,21,9,62,248,10137,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,19,2018/5/7,2018/5/13,11047,10708,,127,21,0,0,148,33,9,8,50,198,10505,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,20,2018/5/14,2018/5/20,11331,11194,,119,17,0,1,137,15,11,13,39,176,11012,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,21,2018/5/21,2018/5/27,11052,10591,,99,23,0,1,123,10,12,9,31,154,10426,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,22,2018/5/28,2018/6/3,10639,10278,,94,17,0,0,111,29,10,2,41,152,10113,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,23,2018/6/4,2018/6/10,10728,10428,,88,16,0,0,105,8,4,3,15,120,10302,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,24,2018/6/11,2018/6/17,10428,10120,,110,9,0,0,119,7,2,6,15,134,9977,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,25,2018/6/18,2018/6/24,10440,10139,,107,12,0,1,120,24,7,0,31,151,9983,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,26,2018/6/25,2018/7/1,10635,10196,,66,12,0,0,78,7,2,3,12,90,10097,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,27,2018/7/2,2018/7/8,10533,10434,,83,38,0,0,121,20,8,8,36,157,10274,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,28,2018/7/9,2018/7/15,10398,10100,,139,21,0,0,160,8,3,3,14,174,9922,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,29,2018/7/16,2018/7/22,10778,10495,,140,20,0,0,160,8,2,4,14,174,10314,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,30,2018/7/23,2018/7/29,10244,10027,,132,20,0,0,152,1,3,2,6,158,9867,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,31,2018/7/30,2018/8/5,10177,9800,,111,4,0,0,115,2,5,0,7,122,9673,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,32,2018/8/6,2018/8/12,10677,10320,,92,19,0,0,111,3,1,2,6,117,10200,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,33,2018/8/13,2018/8/19,10511,10199,,132,30,0,0,162,6,0,1,7,169,10028,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,34,2018/8/20,2018/8/26,10510,10228,,123,24,0,0,147,2,2,0,4,151,10076,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,35,2018/8/27,2018/9/2,10361,10126,,105,46,0,0,151,0,3,0,3,154,9968,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,36,2018/9/3,2018/9/9,10526,9932,,112,69,0,0,181,2,2,3,7,188,9741,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,37,2018/9/10,2018/9/16,19283,18970,,269,191,0,0,460,2,0,0,2,462,18505,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,38,2018/9/17,2018/9/23,10449,10302,,132,46,0,0,178,3,0,2,5,183,10118,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,39,2018/9/24,2018/9/30,10623,10315,,142,52,0,0,194,2,2,1,5,199,10114,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,40,2018/10/1,2018/10/7,11963,11866,,147,30,0,0,177,4,3,2,9,186,11680,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,41,2018/10/8,2018/10/14,14114,13886,,126,31,0,0,157,3,3,0,6,163,13722,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,42,2018/10/15,2018/10/21,14547,14438,,124,32,0,0,156,2,0,2,4,160,14277,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,43,2018/10/22,2018/10/28,14687,14255,,177,29,0,0,206,7,6,0,13,219,14035,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,44,2018/10/29,2018/11/4,14905,14716,,248,48,0,1,297,11,4,0,15,312,14401,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,45,2018/11/5,2018/11/11,15227,14808,,295,80,0,0,375,5,11,2,18,393,14412,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,46,2018/11/12,2018/11/18,15611,15294,,376,60,0,4,440,8,6,2,16,456,14835,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,47,2018/11/19,2018/11/25,15651,15226,,608,69,0,0,677,4,4,6,14,691,14534,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,48,2018/11/26,2018/12/2,16440,16023,,885,93,0,1,979,8,10,8,26,1005,15010,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,49,2018/12/3,2018/12/9,16862,16446,,1049,149,0,2,1200,5,4,3,12,1212,15228,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2018,50,2018/12/10,2018/12/16,16922,16376,,1434,171,0,2,1607,8,15,3,26,1633,14737,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2018,51,2018/12/17,2018/12/23,18226,17880,,2431,312,0,2,2745,2,19,4,25,2770,15099,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2018,52,2018/12/24,2018/12/30,18401,17534,,3090,462,0,2,3554,2,17,2,21,3575,13951,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,1,2018/12/31,2019/1/6,18742,18134,,4153,642,,1,4796,6,27,4,37,4833,4849,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,2,2019/1/7,2019/1/13,21516,21126,,6128,938,0,7,7073,7,44,15,66,7139,13988,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,3,2019/1/14,2019/1/20,22271,21809,,7144,1183,0,17,8344,2,62,18,82,8426,13387,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,4,2019/1/21,2019/1/27,22232,21729,,6519,1205,0,20,7744,1,75,12,88,7832,13905,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,5,2019/1/28,2019/2/3,19427,18874,,5093,1117,0,29,6239,3,73,27,103,6342,12530,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,6,2019/2/4,2019/2/10,14921,14569,,3021,883,0,1,3905,9,84,8,101,4006,10564,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,7,2019/2/11,2019/2/17,18486,18251,,3590,1098,0,0,4688,11,148,15,174,4862,13391,Regional Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,8,2019/2/18,2019/2/24,17908,17397,,2871,1083,0,0,3954,11,185,21,217,4171,13224,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,9,2019/2/25,2019/3/3,18088,17766,,2569,1414,0,5,3988,18,370,23,411,4399,13363,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,10,2019/3/4,2019/3/10,17968,17555,,2035,1570,0,0,3605,8,772,36,816,4421,13131,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,11,2019/3/11,2019/3/17,17770,17445,,1517,1597,0,1,3115,35,1280,34,1349,4464,13243,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,12,2019/3/18,2019/3/24,18288,17967,,1001,1312,0,2,2315,32,1742,39,1813,4128,13836,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,13,2019/3/25,2019/3/31,17707,17401,,633,1176,0,8,1817,41,2077,92,2210,4027,13372,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,14,2019/4/1,2019/4/7,11603,10532,,298,558,0,1,857,8,1053,62,1123,1980,8551,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,15,2019/4/8,2019/4/14,14405,14342,,238,584,0,0,822,25,1776,73,1874,2696,11644,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,16,2019/4/15,2019/4/21,13687,13561,,183,460,0,0,643,15,1702,70,1787,2430,11124,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,17,2019/4/22,2019/4/28,12517,12153,,118,398,0,2,518,16,1483,127,1626,2144,10006,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,18,2019/4/29,2019/5/5,11665,11411,,112,273,0,0,385,6,1073,131,1210,1595,9816,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,19,2019/5/6,2019/5/12,12744,12392,,79,229,0,0,308,11,1226,91,1328,1636,10751,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,20,2019/5/13,2019/5/19,12850,12829,,79,245,0,0,324,13,1236,202,1451,1775,11053,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,21,2019/5/20,2019/5/26,12613,12572,,94,232,0,0,326,7,1138,192,1337,1663,10905,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,22,2019/5/27,2019/6/2,11926,11716,,53,167,0,0,220,9,971,143,1123,1343,10364,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2019,23,2019/6/3,2019/6/9,11299,10967,,52,189,0,0,241,2,814,137,953,1194,9769,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2019,24,2019/6/10,2019/6/16,10673,9833,,74,187,0,0,261,0,426,173,599,860,8969,Sporadic
China,Western Pacific Region of WHO,Eastern Asia,2019,25,2019/6/17,2019/6/23,13195,12122,,120,216,0,0,336,6,625,152,783,1119,11001,Sporadic
